,Angle,Mean Peak Value
0,0.0,8.300935
1,0.06981317007977318,7.951218
2,0.13962634015954636,7.776513
3,0.20943951023931956,7.951218
4,0.2792526803190927,7.951218
5,0.3490658503988659,7.863866
6,0.4188790204786391,7.601809
7,0.4886921905584123,6.990035
8,0.5585053606381855,6.553273
9,0.6283185307179586,6.203863
10,0.6981317007977318,5.679441
11,0.767944870877505,5.155327
12,0.8377580409572782,4.587383
13,0.9075712110370514,4.762088
14,0.9773843811168246,5.417384
15,1.0471975511965976,5.941498
16,1.117010721276371,6.553273
17,1.1868238913561442,6.990035
18,1.2566370614359172,7.427104
19,1.3264502315156905,7.776513
20,1.3962634015954636,8.03857
21,1.4660765716752369,8.125923
22,1.53588974175501,8.213583
23,1.6057029118347832,7.863866
